"plot_ID","year","LON","LAT","ECOSUBCD","ELEV","species_richness","SLOPE","STDAGE","EcM_percentage","Rs","Le","pre","tem","clay","bulk","totaln","ph","Rs_log","Le_log","EcM_percentage_square","STDAGE_square","species_richness_log","EcM_percentage_centered","EcM_percentage_sq_centered","Mycorrhizal.type"
"ssscsissssrissrjjicsdsh",2012,-95.753831,38.976749,"251",1090,5,0.677628,49.3531,0,18.4027580458792,116.389121840187,630,20.9999996821086,375.598388671875,139.966491699219,292.299255371094,62.6609802246094,4.20185009600265,6.86281241468246,0,2435.72847961,2.32192809488736,-56.8248729492608,3229.06618569964,"AM"
"ssscsissssrissrxjicsffg",2012,-96.386763,38.909933,"251",1370,5,15,72,0,4.41190945526036,117.601353708738,620,20.7500001589457,377.474578857422,135.662185668945,244.071136474609,62.0139770507812,2.14140318308993,6.87776085690175,0,5184,2.32192809488736,-56.8248729492608,3229.06618569964,"AM"
"ssscsisssscisssrricsdfr",2002,-94.798701,38.005033,"251",880,2,0,15,0,10.2710059038135,148.390305498988,683,21.6833335558573,367.435455322266,138.998626708984,408.650085449219,63.9514350891113,3.36050557560655,7.21325303196665,0,225,1,-56.8248729492608,3229.06618569964,"AM"
"ssscsisssscisssrricsdfr",2012,-94.7987195163133,38.005033,"251",880,2,0,15,0,7.42154070561012,116.949662921352,683,21.6833335558573,367.435455322266,138.998626708984,408.650085449219,63.9514350891113,2.891718720216,6.86974389325733,0,225,1,-56.8248729492608,3229.06618569964,"AM"
"ssscsisssscisssrricsdhs",2006,-94.937711,37.817242,"251",910,2,0,32,0,5.36547911173897,51.1183431952667,683,21.7666670481364,328.060882568359,138.299331665039,380.521881103516,61.0156211853027,2.42370700253221,5.6757691725121,0,1024,1,-56.8248729492608,3229.06618569964,"AM"
"ssscsisssscisssrgicsjzs",2011,-96.968118,37.721069,"251",1290,3,0,7.503614,0,4.50257691525522,6.79929806089324,573,22.016666730245,339.301116943359,140.715469360352,244.614883422852,63.1287002563477,2.1707509211753,2.76538581454831,0,56.304223060996,1.58496250072116,-56.8248729492608,3229.06618569964,"AM"
"ssscsisssscisssrgicsjzs",2012,-96.9680596203531,37.721069,"251",1290,3,0,7.503614,0,6.79929806089324,10.2915958351041,573,22.016666730245,339.301116943359,140.715469360352,244.614883422852,63.1287002563477,2.76538581454831,3.36339480159754,0,56.304223060996,1.58496250072116,-56.8248729492608,3229.06618569964,"AM"
"ssscsisssscisssrxicsdgr",2001,-96.233633,37.030984,"255",980,1,0,30,0,8.80445880641033,286.484402216978,623,22.3666667938232,210.240051269531,133.959381103516,508.513977050781,58.1213073730469,3.13823432702026,8.1623127826599,0,900,0,-56.8248729492608,3229.06618569964,"AM"
"ssscsisssscisssrxicsdgr",2006,-96.2335639264862,37.030984,"255",980,1,0,30,0,8.00016361618297,19.9890505706739,623,22.3666667938232,210.240051269531,133.959381103516,508.513977050781,58.1213073730469,3.00002950573025,4.32113804423306,0,900,0,-56.8248729492608,3229.06618569964,"AM"
"ssscsisssscisssrxicsdgr",2012,-96.2337034707752,37.030984,"255",980,1,0,30,0,13.6804897045591,20.1211059579815,623,22.3666667938232,210.240051269531,133.959381103516,508.513977050781,58.1213073730469,3.77404796850986,4.33063770004295,0,900,0,-56.8248729492608,3229.06618569964,"AM"
"ssscsisssscisssdricsdfz",2012,-95.915283,38.319849,"251",1050,8,29,42,0,25.2285567043518,4.10141064845843,659,21.4499999682109,415.216064453125,136.003021240234,416.013610839844,64.0009384155273,4.65698576869923,2.03612019887968,0,1764,3,-56.8248729492608,3229.06618569964,"AM"
"ssscsisssscisssdjicsczh",2002,-94.67432,37.443704,"255",930,2,0,18,0,15.8873005319149,28.9864536999594,691,21.733333269755,225.756759643555,132.952575683594,330.056427001953,60.7236862182617,3.9898021069202,4.85730693492904,0,324,1,-56.8248729492608,3229.06618569964,"AM"
